	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS
369	CO02	Antioquia	05	05	053	Ebejico	100.0	240	05240
370	CO26	Santander	68	68	435	Palmas del Socorro	100.0	524	68524
371	CO02	Antioquia	05	05	054	Anza	100.0	044	05044
372	CO02	Antioquia	05	05	063	Alejandría	94.0	021	05021
373	CO36	Boyacá	15	15	120	El Cocuy	100.0	244	15244
374	CO02	Antioquia	05	05	063	San Rafael	100.0	667	05667
375	CO26	Santander	68	68	435	Confines	100.0	209	68209
376	CO26	Santander	68	68	431	Ocamonte	100.0	498	68498
377	CO02	Antioquia	05	05	001	Medellín	92.0	001	05001
378	CO02	Antioquia	05	05	035	San Vicente	100.0	674	05674
379	CO26	Santander	68	68	432	Coromoro	100.0	217	68217
380	CO26	Santander	68	68	435	Contratación	95.0	211	68211
381	CO26	Santander	68	68	434	La Paz	100.0	397	68397
382	CO26	Santander	68	68	432	Charalá	91.0	167	68167
383	CO36	Boyacá	15	15	121	Soatá	88.0	753	15753
384	CO26	Santander	68	68	436	Guapota	100.0	322	68322
385	CO02	Antioquia	05	05	064	Peñol	100.0	541	05541
386	CO11	Chocó	27	27	282	Quibdó	90.0	001	27001
387	CO36	Boyacá	15	15	122	La Uvita	100.0	403	15403
388	CO26	Santander	68	68	436	Oiba	100.0	500	68500
389	CO02	Antioquia	05	05	033	San Carlos	100.0	649	05649
390	CO02	Antioquia	05	05	023	Guarne	100.0	318	05318
391	CO26	Santander	68	68	435	El Guacamayo	100.0	245	68245
392	CO31	Vichada	99	99	520	Puerto Carreño	100.0	001	99001
393	CO26	Santander	68	68	435	Guadalupe	100.0	320	68320
394	CO02	Antioquia	05	05	064	Guatape	100.0	321	05321
395	CO02	Antioquia	05	05	054	Betulia	100.0	093	05093
396	CO02	Antioquia	05	05	071	Heliconia	100.0	347	05347
397	CO36	Boyacá	15	15	123	Chita	100.0	183	15183
398	CO36	Boyacá	15	15	124	Susacón	91.0	774	15774
399	CO26	Santander	68	68	437	Bolívar	91.0	101	68101
400	CO02	Antioquia	05	05	059	Puerto Naré (La Magdalena)	80.0	585	05585
401	CO36	Boyacá	15	15	117	Puerto Boyacá	95.0	572	15572
402	CO32	Casanare	85	85	517	Hato Corozal	100.0	125	85125
403	CO02	Antioquia	05	05	028	Marinilla	100.0	440	05440
404	CO02	Antioquia	05	05	071	Armenia	100.0	059	05059
405	CO02	Antioquia	05	05	031	Rionegro	100.0	615	05615
406	CO32	Casanare	85	85	518	La Salina	100.0	136	85136
407	CO02	Antioquia	05	05	065	Granada	100.0	313	05313
408	CO02	Antioquia	05	05	066	Retiro	100.0	607	05607
409	CO26	Santander	68	68	434	Aguada	100.0	013	68013
410	CO02	Antioquia	05	05	024	Itaguí	90.0	360	05360
411	CO02	Antioquia	05	05	019	Envigado	100.0	266	05266
412	CO31	Vichada	99	99	520	La Primavera	100.0	524	99524
